imie;nazwisko;ulica;nr mieszkania;uczelnia;zawód;płeć;wiek;wzrost;miasto;województwo;
Barbara;Jagiel;Kwiatowa 27;2;U.W.;architekt;K;50;200;warszawa;mazowieckie;400
Stefan;Janicki;Kwiatowa 57;33;P.W.;lekarz;M;47;153;warszawa;mazowieckie;306
Robert;Jawlik;Kwiatowa 46;4;U.W.;kartograf;M;45;194;warszawa;mazowieckie;388
Barbara;Jelikowska;Kwiatowa 31;6;U.W.;architekt;K;37;169;warszawa;mazowieckie;338
Wiktor;Jobda;Kwiatowa 39;11;P.W.;nauczyciel;M;28;167;warszawa;mazowieckie;334
Jadwiga;Jolecka;Kwiatowa 29;4;U.Pozn.;geograf;K;41;165;warszawa;mazowieckie;330
Wiktor;Karolik;Kwiatowa 39;12;P.W.;nauczyciel;M;32;153;warszawa;mazowieckie;306
Zbigniew;Kąkol;Kwiatowa 50;5;U.W;pedagog;M;32;165;warszawa;mazowieckie;330
Barbara;Kiszewska;Kwiatowa 42;11;U.W.;architekt;K;29;159;warszawa;mazowieckie;318
Rafał;Kobek;Kwiatowa 33;2;P.Wr.;kartograf;M;42;164;warszawa;mazowieckie;328
Tadeusz;Komasa;Kwiatowa 43;4;P.G.;lekarz;M;41;176;warszawa;mazowieckie;352
Michał;Komor;Kwiatowa 43;18;P.G.;lekarz;M;27;166;warszawa;mazowieckie;332
Tadeusz;Komorak;Kwiatowa 41;16;P.G.;nauczyciel;M;57;166;warszawa;mazowieckie;332
Tadeusz;Komorna;Kwiatowa 44;12;P.G.;nauczyciel;M;44;150;warszawa;mazowieckie;300
Michał;Komornicki;Kwiatowa 43;14;P.G.;nauczyciel;M;50;192;warszawa;mazowieckie;384
Tadeusz;Komorników;Kwiatowa 45;20;P.G.;nauczyciel;M;45;194;warszawa;mazowieckie;388
Michał;Komos;Kwiatowa 41;3;P.G.;nauczyciel;M;34;169;warszawa;mazowieckie;338
Tadeusz;Kowalski;Kwiatowa 41;9;P.G.;nauczyciel;M;23;159;warszawa;mazowieckie;318
Wiktor;Krupicki;Kwiatowa 40;3;P.W.;nauczyciel;M;51;144;warszawa;mazowieckie;288
Janusz;Kurant;Kwiatowa 37;11;P.Szcz.;geograf;M;37;158;warszawa;mazowieckie;316
Michał;Kureka;Kwiatowa 37;7;P.W.;inżynier;M;33;164;warszawa;mazowieckie;328
Wiktor;Labuda;Kwiatowa 39;11;P.W.;nauczyciel;M;48;191;kraków;małopolskie;382
Zbigniew;Liczaba;Kwiatowa 56;3;U.W;plastyk;M;63;194;kraków;małopolskie;388
Robert;Liczak;Kwiatowa 47;10;U.W.;kartograf;M;54;177;kraków;małopolskie;354
Michał;Likary;Kwiatowa 35;6;P.W.;inżynier;M;44;177;kraków;małopolskie;354
Mateusz;Likian;Kwiatowa 37;7;P.W.;inżynier;M;34;159;kraków;małopolskie;318
Marek;Linda;Kwiatowa 35;8;P.W.;inżynier;M;37;162;kraków;małopolskie;324
Michał;Lindak;Kwiatowa 37;9;P.W.;inżynier;M;48;179;kraków;małopolskie;358
Franciszek;Lindarek;Kwiatowa 35;9;P.W.;inżynier;M;63;147;kraków;małopolskie;294
Michał;Lipecki;Kwiatowa 35;5;P.W.;inżynier;M;25;166;kraków;małopolskie;332
Ewa;Masztaler;Kwiatowa 45;22;U.W.;filolog;K;57;166;kraków;małopolskie;332
Barbara;Mączyńska;Kwiatowa 40;12;U.W.;filolog;K;47;166;kraków;małopolskie;332
Zbigniew;Mąkol;Kwiatowa 52;9;U.W;plastyk;M;41;182;kraków;małopolskie;364
Jadwiga;Milecka;Kwiatowa 29;7;U.Pozn.;geograf;K;43;164;kraków;małopolskie;328
Robert;Moczydło;Kwiatowa 48;6;U.W.;kartograf;M;55;152;kraków;małopolskie;304
Ewa;Niemota;Kwiatowa 38;12;U.W.;filolog;K;36;163;kraków;małopolskie;326
Robert;Palancik;Kwiatowa 48;5;U.W.;kartograf;M;48;190;kraków;małopolskie;380
Paweł;Palek;Kwiatowa 33;10;P.Szcz.;kartograf;M;46;158;kraków;małopolskie;316
Krystyna;Pilecki;Kwiatowa 34;6;P.Szcz.;geograf;K;50;156;kraków;małopolskie;312
Krystyna;Policka;Kwiatowa 33;7;P.Szcz.;geograf;K;56;143;kraków;małopolskie;286
Krzysztof;Policki;Kwiatowa 33;1;P.Szcz.;inżynier;M;39;161;kraków;małopolskie;322
Elwira;Policzawska;Kwiatowa 33;4;P.Szcz.;filolog;K;42;158;kraków;małopolskie;316
Paweł;Policzewski;Kwiatowa 39;15;P.Szcz.;kartograf;M;55;198;kraków;małopolskie;396
Krystyna;Polkowiak;Kwiatowa 33;5;P.Szcz.;inżynier;K;59;149;kraków;małopolskie;298
Wiktor;Prószak;Kwiatowa 41;7;P.W.;nauczyciel;M;44;170;kraków;małopolskie;340
Andrzej;Robek;Kwiatowa 29;5;P.Wr.;kartograf;M;52;185;kraków;małopolskie;370
Zbigniew;Rudak;Kwiatowa 56;32;U.W;plastyk;M;31;191;kraków;małopolskie;382
Barbara;Sadurski;Kwiatowa 44;7;U.W.;filolog;K;52;169;kraków;małopolskie;338
Marek;Sawek;Kwiatowa 42;12;P.Szcz.;inżynier;M;37;151;kraków;małopolskie;302
Robert;Sulik;Kwiatowa 46;11;U.W.;kartograf;M;49;166;kraków;małopolskie;332
Zbigniew;Sulik;Kwiatowa 54;23;U.W;plastyk;M;54;159;kraków;małopolskie;318
Robert;Sulikowski;Kwiatowa 47;12;U.W.;lekarz;M;33;174;kraków;małopolskie;348
Robert;Surma;Kwiatowa 47;6;U.W.;lekarz;M;49;176;kraków;małopolskie;352
Robert;Surmak;Kwiatowa 46;2;U.W.;lekarz;M;22;171;kraków;małopolskie;342
Wiktor;Suwald;Kwiatowa 39;8;P.W.;pedagog pedagog;M;34;184;kraków;małopolskie;368
Michał;Szerka;Kwiatowa 35;7;P.W.;inżynier;M;44;171;kraków;małopolskie;342
Tadeusz;Tomora;Kwiatowa 43;3;P.G.;nauczyciel;M;51;183;kraków;małopolskie;366
Zbigniew;Trewirek;Kwiatowa 56;6;U.W;plastyk;M;58;174;kraków;małopolskie;348
Zbigniew;Twardzioch;Kwiatowa 53;9;U.W;plastyk;M;50;155;kraków;małopolskie;310
Andrzej;Twarnowski;Kwiatowa 56;32;U.W;plastyk;M;26;176;kraków;małopolskie;352
Tadeusz;Twomicki;Kwiatowa 57;32;P.G.;nauczyciel;M;33;194;kraków;małopolskie;388
Michał;Wertyk;Kwiatowa 49;23;P.W.;inżynier;M;56;160;kraków;małopolskie;320
Rafał;Wobek;Kwiatowa 34;4;P.Wr.;kartograf;M;56;154;kraków;małopolskie;308
Tadeusz;Womor;Kwiatowa 44;18;P.G.;nauczyciel;M;36;159;kraków;małopolskie;318
Robert;Wyszon;Kwiatowa 49;3;U.W.;lekarz;M;46;165;kraków;małopolskie;330
Robert;Zamek;Kwiatowa 47;10;U.W.;lekarz;M;36;174;kraków;małopolskie;348
Wiktor;Zamłcki;Kwiatowa 39;8;P.W.;pedagog pedagog;M;34;171;kraków;małopolskie;342
Tadeusz;Zomornik;Kwiatowa 43;12;P.G.;nauczyciel;M;42;158;kraków;małopolskie;316
Edward;Żeligowski;Kwiatowa 53;22;U.W;filolog;M;40;167;zakopane;małopolskie;334
Zbigniew;Żeligowski;Kwiatowa 56;22;U.W;plastyk;M;56;173;zakopane;małopolskie;346
